id_record,News_Title,Link,Source,Country_ID,Keyword
64,The status of the Shanghai Lockdown will be revoked for a few more days,https://www.cnbcindonesia.com/news/20220417152240-4-332210/status-lockdown-shanghai-bakal-dicabut-beberapa-hari-lagi,CNBC Indonesia,ID,poor working conditions
65,"Having a bad feeling, the wife had banned Wirka go to work",https://baliexpress.jawapos.com/bali/17/04/2022/punya-firasat-buruk-istri-sempat-larang-wirka-pergi-bekerja/,BaliExpress,ID,poor working conditions
66,7 negative impacts work too much,https://gaya.tempo.co/read/1576589/7-dampak-negatif-terlalu-banyak-bekerja,Gaya Tempo.co,ID,poor working conditions
67,"Surabaya Weather Today: Working Home Later, Beware Heavy Rain, Rek!",https://jatim.jpnn.com/jatim-terkini/13565/cuaca-surabaya-hari-ini-pulang-kerja-nanti-awas-hujan-lebat-rek,JPNN.com Jatim,ID,poor working conditions
68,"LTLS Performance Strengthens, Bond Ranking Increases",https://ekbis.sindonews.com/read/747509/178/kinerja-ltls-menguat-peringkat-obligasi-ikut-meningkat-1650348245,SINDOnews,ID,poor working conditions
69,"Sorry, China's economy seems to be madesu",https://www.cnbcindonesia.com/news/20220419154827-4-332883/maaf-ekonomi-china-kayaknya-madesu,CNBC Indonesia,ID,poor working conditions
70,"Lee Joon Gi Positive Covid-19, How is the fate of filming my life?",https://m.liputan6.com/showbiz/read/4942354/lee-joon-gi-positif-covid-19-bagaimana-nasib-syuting-again-my-life,Liputan6.com,ID,poor working conditions
71,Funds 7 BILLION Different Running Roads Towards Beamese,https://www.detakpasifik.com/dana-7-miliar-bereskan-jalan-buruk-rupa-menuju-beamese/,detakpasifik.com,ID,poor working conditions
72,"Who warns a bad impact of working from home, alert!",https://newssetup.kontan.co.id/news/who-peringatkan-dampak-buruk-bekerja-dari-rumah-waspada?page=all,KONTAN,ID,poor working conditions
73,5 exact moves remain focused on working in a bad work environment,https://www.liputan6.com/bisnis/read/4494995/5-jurus-jitu-tetap-fokus-bekerja-di-lingkungan-kerja-yang-buruk,Liputan6.com,ID,poor working conditions
74,"Poor work environment, consequently depression and frequent skip",https://gaya.tempo.co/read/1023472/lingkungan-kerja-buruk-akibatnya-depresi-dan-sering-bolos,Tempo.co,ID,poor working conditions
75,"6 Characteristics of Toxic Work Environment, Kemnaker: Harming to Health",https://kendalku.pikiran-rakyat.com/nasional/pr-1182563288/6-ciri-lingkungan-kerja-toxic-kemnaker-berdampak-buruk-bagi-kesehatan,Kendalku - Kendalku,ID,poor working conditions
76,Made of what vegan cheese if not from milk?,https://www.bbc.com/indonesia/vert-fut-61094537,BBC News Indonesia,ID,poor working conditions
77,"Know the characteristics of a toxic work environment, what should be done?",https://lifestyle.kompas.com/read/2020/12/02/151551220/ketahui-ciri-lingkungan-kerja-yang-toxic-apa-yang-harus-dilakukan?page=all,Kompas.com - Lifestyle Kompas.com,ID,poor working conditions
78,9 ways to redden lips naturally,https://katadata.co.id/agung/berita/625e4827c5c5f/9-cara-memerahkan-bibir-secara-alami,Katadata.co.id,ID,poor working conditions
79,Here are 5 ways to deal with stress at work,https://www.prudential.co.id/id/pulse/article/inilah-lima-cara-mengatasi-stres-di-tempat-kerja/,Prudential Indonesia,ID,poor working conditions
80,South African Flood: Direct Update,https://www.bejagadget.com/banjir-afrika-selatan-pembaruan-langsung/,Bejagadget,ID,poor working conditions
81,"Situbondo Regency Government Gets E From the Ministry of Finance, This Is Comments Chairperson of Parliament",https://faktualnews.co/2022/04/19/pemkab-situbondo-dapat-nilai-e-dari-kemenkeu-ri-ini-komentar-ketua-dprd/313481/,FaktualNews.co,ID,poor working conditions
82,Easy baper?Maybe you are oversensitive,https://health.detik.com/berita-detikhealth/d-6018043/mudah-baper-mungkin-kamu-oversensitif,detikHealth,ID,poor working conditions
83,Bappenas highlight the bad impact of the number of workers turning to be farmers,https://katadata.co.id/agustiyanti/finansial/61dd29920fae6/bappenas-soroti-dampak-buruk-banyaknya-pekerja-beralih-jadi-petani,Katadata.co.id,ID,poor working conditions
84,"Be careful, don't bring bad behavior from this office when working from home",https://www.liputan6.com/bisnis/read/4384191/hati-hati-jangan-bawa-perilaku-buruk-dari-kantor-ini-saat-kerja-dari-rumah,Liputan6.com,ID,poor working conditions
85,KIC Survey: Women's Financial Conditions worse than men |Databoks,https://databoks.katadata.co.id/datapublish/2022/03/10/survei-kic-kondisi-keuangan-perempuan-lebih-buruk-dari-laki-laki,Databoks,ID,poor working conditions
86,4 Signs you are trapped in a toxic work environment,https://yoursay.suara.com/lifestyle/2022/03/16/153752/4-tanda-kamu-terjebak-di-lingkungan-kerja-yang-toksik,Yoursay,ID,poor working conditions
87,"Daily Healthy Lifestyle Tips, Sufficient Hydration to Full Eat Awareness |Merdeka.com",https://www.merdeka.com/jateng/tips-cara-hidup-sehat-sehari-hari-cukupi-hidrasi-hingga-makan-penuh-kesadaran-kln.html,Merdeka.com,ID,poor working conditions
88,Bad work environment can cause physical and mental health problems,https://lifestyle.bisnis.com/read/20171005/219/696251/lingkungan-kerja-buruk-bisa-sebabkan-masalah-kesehatan-fisik-dan-mental,Bisnis.com,ID,poor working conditions
89,What happens companies have a bad organizational culture?,https://www.kompasiana.com/rembulanpermata9622/611ca5be06310e35374c9bd2/apa-jadinya-perusahaan-memiliki-budaya-organisasi-yang-buruk,Kompasiana.com - Kompasiana.com,ID,poor working conditions
90,This 5 mark you are a bad colleague,https://bali.tribunnews.com/2020/03/21/ini-5-tanda-kamu-merupakan-rekan-kerja-yang-buruk,Tribun Bali,ID,poor working conditions
91,Poor office air quality lower employee cognition,https://www.kompas.id/baca/kesehatan/2021/09/10/kualitas-udara-kantor-yang-buruk-turunkan-kognisi-karyawan,kompas.id,ID,poor working conditions
92,Work to death: torment of the Indonesian crew on the Chinese tuna ship,https://www.mongabay.co.id/2021/10/21/kerja-sampai-mati-siksaan-terhadap-abk-indonesia-di-kapal-tuna-tiongkok/,Mongabay.co.id,ID,poor working conditions
93,"'Working in a long duration' can really kill us, according to scientific research",https://www.bbc.com/indonesia/vert-cap-57367998,BBC News Indonesia,ID,poor working conditions
94,Know the Impact of a Bad Work Environment for Mental Health,https://m.jpnn.com/news/ketahui-dampak-lingkungan-kerja-yang-buruk-bagi-kesehatan-mental,JPNN.com,ID,poor working conditions
95,"5 Signs of your boss include Toxic Boss, Alert!",https://lifestyle.bisnis.com/read/20220223/54/1504024/5-tanda-atasan-anda-termasuk-bos-toxic-waspada,Bisnis.com,ID,poor working conditions
96,"Work desk in the bedroom, good or bad according to Fengsui?",https://www.kompas.com/properti/read/2022/02/01/190533921/meja-kerja-di-kamar-tidur-baik-atau-buruk-menurut-fengsui?page=all,Kompas.com - KOMPAS.com,ID,poor working conditions
97,Characteristics of sleep deprivation and how to deal with difficult sleep at night,https://retizen.republika.co.id/posts/108616/ciri-ciri-kurang-tidur-dan-cara-mengatasi-sulit-tidur-di-malam-hari,Republika,ID,poor working conditions
98,Nightmare wage adjustment,https://news.detik.com/kolom/d-5704856/mimpi-buruk-penyesuaian-upah,detikNews,ID,poor working conditions
99,"7 Poor house conditions According to Feng Shui, what are you?",https://www.kompas.com/homey/read/2022/02/21/071000776/7-kondisi-rumah-yang-buruk-menurut-feng-shui-apa-saja-?page=all,Kompas.com - KOMPAS.com,ID,poor working conditions
100,"Events January 22, the first Russian revolution full of blood |Merdeka.com",https://www.merdeka.com/sumut/peristiwa-22-januari-revolusi-rusia-pertama-yang-penuh-darah-kln.html,Merdeka.com,ID,poor working conditions
101,"Dirty environmental signs and poor impacts that accompany it, full of disease |Merdeka.com",https://www.merdeka.com/jatim/tanda-lingkungan-kotor-dan-dampak-buruk-yang-menyertainya-penuh-dengan-penyakit-kln.html,Merdeka.com,ID,poor working conditions
102,4 supporting factors for someone's comfort at work,https://yoursay.suara.com/lifestyle/2021/08/30/130517/4-faktor-penunjang-rasa-nyaman-seseorang-di-tempat-kerja,Yoursay,ID,poor working conditions
103,Bad habits born due to WFH,https://lifestyle.kompas.com/read/2021/06/14/181230220/kebiasaan-buruk-yang-lahir-akibat-wfh?page=all,Kompas.com - Lifestyle Kompas.com,ID,poor working conditions
104,"How to deal with depression at work, recognize the signs |Merdeka.com",https://www.merdeka.com/jabar/cara-mengatasi-depresi-di-tempat-kerja-kenali-tanda-tandanya-kln.html,Merdeka.com,ID,poor working conditions
105,Miris Daily Labor Labor Condition in Toba Pulp Lestari,https://www.mongabay.co.id/2021/09/22/kondisi-miris-buruh-harian-lepas-di-toba-pulp-lestari/,Mongabay.co.id,ID,poor working conditions
106,"Excessive work is not good, but why do many people still do it?",https://www.bbc.com/indonesia/vert-cap-45318335,BBC News Indonesia,ID,poor working conditions
107,"Adverse effects of workaholic, from mental health to social relations",https://gaya.tempo.co/read/1565968/dampak-buruk-workaholic-dari-kesehatan-mental-hingga-hubungan-sosial,Gaya Tempo.co,ID,poor working conditions
108,Duh!Teen addicted to Tiktok is vulnerable to stress and depression,https://www.cnbcindonesia.com/lifestyle/20220128173338-33-311357/duh-remaja-kecanduan-tiktok-rentan-stres-dan-depresi,CNBC Indonesia,ID,poor working conditions
109,Survey: Back to work in the office can have a negative impact on mental health |Merdeka.com,https://www.merdeka.com/uang/survei-kembali-bekerja-di-kantor-bisa-berdampak-buruk-ke-kesehatan-mental.html,Merdeka.com,ID,poor working conditions
110,Why do many workers in the US rarely take leave even though they crave it?,https://www.bbc.com/indonesia/vert-cap-59647490,BBC News Indonesia,ID,poor working conditions
111,"Pretending to be sick to be bolos vs pretending to be healthy about work, where is worse?",https://health.detik.com/berita-detikhealth/d-5589644/pura-pura-sakit-biar-bolos-vs-pura-pura-sehat-maksain-kerja-mana-lebih-buruk,detikHealth,ID,poor working conditions
112,Keep silver luster Koto Gadang,https://www.antarafoto.com/foto-cerita/v1650260129/menjaga-kilau-perak-koto-gadang,Antara Foto,ID,poor working conditions
113,"Today's Zodiac Prediction February 21: Don't be dating with Gemini's colleagues, your financial cancer is in bad condition",https://lifestyle.okezone.com/read/2022/02/20/612/2550290/ramalan-zodiak-hari-ini-21-februari-jangan-pacaran-dengan-rekan-kerja-gemini-cancer-keuanganmu-dalam-kondisi-buruk,Okezone.com,ID,poor working conditions
114,Survey: Singapore workers are most unhappy in the world,https://www.republika.co.id/berita/quzpkj463/survei-pekerja-singapura-paling-tidak-bahagia-di-dunia,Republika Online,ID,poor working conditions
115,"4 bad impacts work multitasking, can make IQ down",https://www.liputan6.com/citizen6/read/4681667/4-dampak-buruk-bekerja-multitasking-bisa-bikin-iq-turun,Liputan6.com,ID,poor working conditions
116,Here are the 4 signs you need to get out of work now,https://yoursay.suara.com/lifestyle/2021/09/22/110804/inilah-4-tanda-kamu-perlu-keluar-dari-tempat-kerja-yang-sekarang,Yoursay,ID,poor working conditions
117,Things that can be done when mental conditions are bad,https://www.kompas.com/tren/read/2022/02/25/113000165/hal-yang-dapat-dilakukan-saat-kondisi-mental-buruk?page=all,Kompas.com - KOMPAS.com,ID,poor working conditions
118,12 Powerful Ways to Improve a bad mood,https://www.bola.com/ragam/read/4713913/12-cara-ampuh-memperbaiki-suasana-hati-yang-buruk,Ragam Bola.com - Bola.com,ID,poor working conditions
119,"Do not want to regret when receiving work, ask these 2 things during the interview |Merdeka.com",https://www.merdeka.com/uang/tak-ingin-menyesal-saat-terima-kerja-tanyakan-2-hal-ini-saat-wawancara.html,Merdeka.com,ID,poor working conditions
120,"Go home on time!Too long work, can improve the risk of stroke",https://theconversation.com/pulanglah-tepat-waktu-terlalu-lama-bekerja-bisa-tingkatkan-risiko-kena-stroke-120164,The Conversation Indonesia,ID,poor working conditions
121,"'Inhuman and cruel', the protest of young bankers with working hours is almost 100 hours per week",https://www.bbc.com/indonesia/majalah-56453899,BBC News Indonesia,ID,poor working conditions
122,K3 Implementation at Work Prevent Covid-19 Transmission,https://sehatnegeriku.kemkes.go.id/baca/rilis-media/20210505/0937694/implementasi-k3-di-tempat-kerja-cegah-penularan-covid-19/,Sehat Negeriku - Kementerian Kesehatan,ID,poor working conditions
123,"7 Signs of TOXIC work environment, can make you not develop!",https://www.grid.id/read/042516355/7-tanda-lingkungan-kerja-toxic-bisa-membuatmu-tidak-berkembang-nih?page=all,Grid.ID,ID,poor working conditions
124,"It is rumored to be a massive layoff, AirAsia boss: Stable operation and not in bad conditions",https://voi.id/ekonomi/130303/diisukan-akan-phk-besar-besaran-bos-airasia-operasional-stabil-dan-tidak-dalam-kondisi-buruk,VOI.ID,ID,poor working conditions
125,Negative body image is a bad condition for humans,https://www.alinea.id/gaya-hidup/citra-tubuh-negatif-adalah-kondisi-yang-buruk-bagi-manusia-b2cFE9Anb,alinea,ID,poor working conditions
126,"Good mental health characteristics, this way to keep it |Merdeka.com",https://www.merdeka.com/jabar/ciri-ciri-kesehatan-mental-yang-baik-begini-cara-menjaganya-kln.html,Merdeka.com,ID,poor working conditions
127,4 difficulties that can be felt when working from home,https://yoursay.suara.com/lifestyle/2022/03/06/204500/4-kesulitan-yang-dapat-dirasakan-ketika-bekerja-dari-rumah,Yoursay,ID,poor working conditions
128,"5 causes that make you not at home at work, let's introspect yourself!",https://yoursay.suara.com/lifestyle/2021/08/12/081500/5-penyebab-yang-bikin-kamu-tak-betah-di-tempat-kerja-yuk-introspeksi-diri,Yoursay,ID,poor working conditions
129,Why is bad economic conditions inhibitors social mobility?,https://money.kompas.com/read/2022/02/15/200509726/mengapa-kondisi-ekonomi-yang-buruk-menjadi-penghambat-mobilitas-sosial?page=all,Kompas.com - Kompas.com,ID,poor working conditions
130,Finnwatch Findings: Workers at the Malaysian Palm Company IOI can treat bad treatment,https://internasional.kontan.co.id/news/temuan-finnwatch-pekerja-di-perusahaan-sawit-malaysia-ioi-dapat-perlakuan-buruk,Internasional Kontan,ID,poor working conditions
131,Found!It turns out this is the cause of many debt,https://www.cnbcindonesia.com/market/20211215151013-17-299543/terungkap-ternyata-ini-penyebab-bumn-banyak-utang,CNBC Indonesia,ID,poor working conditions
132,"Collusion is cooperation in bad terms, this is his understanding",https://katadata.co.id/intan/berita/620f19f7c8657/kolusi-adalah-kerja-sama-dalam-hal-buruk-ini-pengertiannya,Katadata.co.id,ID,poor working conditions
